"","Metrica","Media","Desviacion"
"Accuracy","Accuracy",0.627405508999217,0.00890736833576079
"Precision","Precision",0.598030697862463,0.0164245189044275
"Sensitivity","Sensitivity",0.77721430912645,0.0157407858488975
"Specificity","Specificity",0.477779566063475,0.011764872373067
