"","Accuracy","Precision","Sensitivity","Specificity"
"1",0.590277777777778,0.514851485148515,0.838709677419355,0.402439024390244
"2",0.659722222222222,0.656565656565657,0.8125,0.46875
"3",0.559440559440559,0.544444444444444,0.690140845070423,0.430555555555556
"4",0.701388888888889,0.684210526315789,0.732394366197183,0.671232876712329
"5",0.552447552447552,0.51685393258427,0.686567164179104,0.434210526315789
"6",0.590277777777778,0.540816326530612,0.791044776119403,0.415584415584416
"7",0.594405594405594,0.595505617977528,0.706666666666667,0.470588235294118
"8",0.625,0.59,0.819444444444444,0.430555555555556
"9",0.699300699300699,0.747126436781609,0.755813953488372,0.614035087719298
"10",0.659722222222222,0.597826086956522,0.82089552238806,0.519480519480519
