"","Metrica","Media","Desviacion"
"Accuracy","Accuracy",0.623198329448329,0.0544098055957179
"Precision","Precision",0.598820051330495,0.07659485208313
"Sensitivity","Sensitivity",0.765417741597301,0.0584620961511771
"Specificity","Specificity",0.485743179660782,0.0901422866047635
