"","Accuracy","Precision","Sensitivity","Specificity"
"1",0.621359223300971,0.594594594594595,0.773286467486819,0.468085106382979
"2",0.635481023830538,0.588555858310627,0.795580110497238,0.488135593220339
"3",0.613074204946996,0.572958500669344,0.782449725776965,0.454700854700855
"4",0.63459841129744,0.591032608695652,0.793795620437956,0.485470085470085
"5",0.629858657243816,0.61744966442953,0.774410774410774,0.470260223048327
"6",0.621359223300971,0.577994428969359,0.767097966728281,0.488175675675676
"7",0.627208480565371,0.61507402422611,0.770657672849916,0.469387755102041
"8",0.639894086496028,0.621768707482993,0.778534923339012,0.490842490842491
"9",0.634275618374558,0.598923283983849,0.793226381461676,0.478108581436077
"10",0.616946160635481,0.60195530726257,0.743103448275862,0.484629294755877
