algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
UCS,18,8981,101,101,0.04653739929199219,True
UCS,19,944,14,14,0.005055665969848633,True
UCS,20,8151,125,125,0.040518760681152344,True
UCS,21,4178,82,82,0.02219247817993164,True
UCS,22,4352,81,81,0.022660493850708008,True
UCS,23,2858,77,77,0.014758110046386719,True
UCS,24,8042,114,114,0.03979778289794922,True
UCS,25,4237,105,105,0.022091150283813477,True
UCS,26,8990,97,97,0.04482245445251465,True
UCS,27,8326,142,142,0.06909322738647461,True
UCS,28,2150,51,51,0.038507699966430664,True
UCS,29,4881,63,63,0.05043840408325195,True
UCS,30,3879,50,50,0.019470930099487305,True
UCS (cost),1,5937,243,243,0.02989029884338379,True
UCS (cost),2,665,59,59,0.003552675247192383,True
UCS (cost),3,3439,120,120,0.018195629119873047,True
UCS (cost),4,7048,203,203,0.03677105903625488,True
UCS (cost),5,6297,226,226,0.032204627990722656,True
UCS (cost),6,9030,368,368,0.04506063461303711,True
UCS (cost),7,6505,242,242,0.03284883499145508,True
UCS (cost),8,6032,127,127,0.03198957443237305,True
UCS (cost),9,683,55,55,0.0033719539642333984,True
UCS (cost),10,7625,312,312,0.03850531578063965,True
UCS (cost),11,7175,190,190,0.03673958778381348,True
UCS (cost),12,9079,285,285,0.04626154899597168,True
UCS (cost),13,2623,89,89,0.013397455215454102,True
UCS (cost),14,5112,166,166,0.026021718978881836,True
UCS (cost),15,5833,181,181,0.030200481414794922,True
UCS (cost),16,8580,217,217,0.07298684120178223,True
UCS (cost),17,5238,121,121,0.05217766761779785,True
UCS (cost),18,2220,56,56,0.011379480361938477,True
UCS (cost),19,1789,86,86,0.009213924407958984,True
UCS (cost),20,94,30,30,0.0006158351898193359,True
UCS (cost),21,8283,430,430,0.06811070442199707,True
UCS (cost),22,3758,60,60,0.019504308700561523,True
UCS (cost),23,4713,63,63,0.024431467056274414,True
UCS (cost),24,8488,292,292,0.04270172119140625,True
UCS (cost),25,9135,433,433,0.04498863220214844,True
UCS (cost),26,7285,183,183,0.038117170333862305,True
UCS (cost),27,253,12,12,0.0014047622680664062,True
UCS (cost),28,8289,222,222,0.04246044158935547,True
UCS (cost),29,4693,107,107,0.02390289306640625,True
UCS (cost),30,6513,193,193,0.0333554744720459,True
A*,1,1800,53,53,0.013440370559692383,True
A*,2,3322,78,78,0.024806976318359375,True
A*,3,1423,58,58,0.010379314422607422,True
A*,4,1267,48,48,0.009393930435180664,True
A*,5,428,26,26,0.003272533416748047,True
